judul_ta,deskripsi,judul_preprocessed,deskripsi_preprocessed
Aplikasi Form Survey Penyusunan Rencana Induk TIK (DESK TIK),"Aplikasi ini digunakan sebagai Form isian SKPD dalam penyusunan Rencana Induk TIK yang terbagi dalam beberapa kategori isian form SKPD,  diantaranya arsiteksur bisnis, arstektur infrastruktur tik,arsitektur aplikasi dll sehingga memudahkan Diskominfo dalam mengelola dan memonitoring Infrastruktur SPBE yang akan dan sudah dijalankan oleh SKPD",aplikasi form survey penyusunan rencana induk tik desk tik,aplikasi ini digunakan sebagai form isian skpd dalam penyusunan rencana induk tik yang terbagi dalam beberapa kategori isian form skpd diantaranya arsiteksur bisnis arstektur infrastruktur tik arsitektur aplikasi dll sehingga memudahkan diskominfo dalam mengelola dan memonitoring infrastruktur spbe yang akan dan sudah dijalankan oleh skpd
Pembelajaran Agama Berbasis Android Di SMP Islam Nurus Syamsi,Pembelajaran Agama sangat penting untuk siswa-siswi SMP agar mereka memiliki bekal nantinya untuk menghadapi persaingan di era global saat ini yang sudah semakin canggih. Proses Pembelajaran Agama yang terjadi di SMP Islam Nurus Syamsi selama ini masih berjalan tatap muka yaitu adanya pertemuan guru dengan siswa di dalam kelas. sedangkan materi-materi yang digunakan oleh guru ini masih menggunakan modul/buku paket apalagi pada masa pendemi saat ini dengan adanya sistem pembelajaran online berbasis android ini diharapkan dapat menarik minat belajar sisswa-siswi SMP Islam Nurus Syamsi dalam memahami materi tentang Agama dimana dan kapan saja tanpa harus membawa buku paket Agama.,pembelajaran agama berbasis android di smp islam nurus syamsi,pembelajaran agama sangat penting untuk siswa-siswi smp agar mereka memiliki bekal nantinya untuk menghadapi persaingan di era global saat ini yang sudah semakin canggih proses pembelajaran agama yang terjadi di smp islam nurus syamsi selama ini masih berjalan tatap muka yaitu adanya pertemuan guru dengan siswa di dalam kelas sedangkan materi-materi yang digunakan oleh guru ini masih menggunakan modul buku paket apalagi pada masa pendemi saat ini dengan adanya sistem pembelajaran online berbasis android ini diharapkan dapat menarik minat belajar sisswa-siswi smp islam nurus syamsi dalam memahami materi tentang agama dimana dan kapan saja tanpa harus membawa buku paket agama
Sistem rekapitulasi pembayaran santri boyong berbasis WEB dengan Framework CodeIgniter di Wilayah Fathimatuz Zahro',"Wilayah Fathimatuz Zahro' merupakan salah satu Wilayah di Pondok Pesantren Nurul Jadid. Sama halnya wilayah lainnya. Sistem pembayaran pesantren sesuai dengan jangka waktu yang telah di tentukan. Sering di temukan oleh Bendahara Wilayah Fathimatuz Zahro', yaitu ketika mendata santri-santri yang belum melunasi pembayaran sesuai prosedural pesantren. Santri yang belum melunasi tertukar dengan yang sudah melunasi, melihat kuota santri yang banyak. Hal ini mengakibatkan sistem pembayaran yang di lakukan ketika ada santri yang hendak berhenti (boyong) menjadi terkendala. Sebab pihak Bendahara Wilayah yang mengurus pembayaran santri, ketika mereka di minta rekap pembayaran santri, pihak Bendahara masih harus membuka buku pembayaran santri dan melihat siapa saja santri yang masih memiliki banyak tanggungan pembayaran kepada wilayah Fathimatuz Zahro'. Jika belum melunasi pembayaran di pesantren maka masih tidak boleh untuk berhenti atau boyong dari pesantren. Maka santri yang hendak boyong harus melunasi pembayaran pesantren secara lunas dan akan di beri surat pernyataan berhenti dan meminta tandatangan kepada kepala wilayah pengasuh._x000D_
Oleh karena itu di butuhkan suatu aplikasi yang dapat mempermudah kinerja bendahara wilayah Fathimatuz Zahro' dan dapat dipantau oleh wali santri terkait pembayaran anak-anaknya, hawatir salah satu dari mereka ada yang membohongi orang tuanya terkait pembayaran pesantren. Padahal faktanya mereka tidak bayar. Aplikasi yang akan dibuat menggunakan bahasa pemrograman WEB dengan Framework CodeIgniter.",sistem rekapitulasi pembayaran santri boyong berbasis web dengan framework codeigniter di wilayah fathimatuz zahro,wilayah fathimatuz zahro merupakan salah satu wilayah di pondok pesantren nurul jadid sama halnya wilayah lainnya sistem pembayaran pesantren sesuai dengan jangka waktu yang telah di tentukan sering di temukan oleh bendahara wilayah fathimatuz zahro yaitu ketika mendata santri-santri yang belum melunasi pembayaran sesuai prosedural pesantren santri yang belum melunasi tertukar dengan yang sudah melunasi melihat kuota santri yang banyak hal ini mengakibatkan sistem pembayaran yang di lakukan ketika ada santri yang hendak berhenti boyong menjadi terkendala sebab pihak bendahara wilayah yang mengurus pembayaran santri ketika mereka di minta rekap pembayaran santri pihak bendahara masih harus membuka buku pembayaran santri dan melihat siapa saja santri yang masih memiliki banyak tanggungan pembayaran kepada wilayah fathimatuz zahro jika belum melunasi pembayaran di pesantren maka masih tidak boleh untuk berhenti atau boyong dari pesantren maka santri yang hendak boyong harus melunasi pembayaran pesantren secara lunas dan akan di beri surat pernyataan berhenti dan meminta tandatangan kepada kepala wilayah pengasuh oleh karena itu di butuhkan suatu aplikasi yang dapat mempermudah kinerja bendahara wilayah fathimatuz zahro dan dapat dipantau oleh wali santri terkait pembayaran anak-anaknya hawatir salah satu dari mereka ada yang membohongi orang tuanya terkait pembayaran pesantren padahal faktanya mereka tidak bayar aplikasi yang akan dibuat menggunakan bahasa pemrograman web dengan framework codeigniter
MONITORING AIR DI AREA PERSAWAHAN MILIK PONDOK PESANTREN NURUL JADID  DENGAN MIKROKONTROLERARDUINO BERBASIS SMS GATEWAY,"Sawah merupakan lahan pertanian bagi para petani terutama di Indonesia.Pada saat menanam padi tentunya membutuhkan banyak air untuk pertumbuhan tanaman padi, pada sistem pengairan sawah terutama di daerah Pondok Pesantren Nurul Jadid tidak selalu mengalir, dikarenakan saluran air digunakan oleh banyak orang, sehingga mengaliri sawah di lakukan secara bergantian dan waktu tidak teratur. Dengan adanya alat monitoring air berbasis sms gateway para petani tidak harus setiap pagi kesawah untuk mengontrol air mengalir atau tidak, dengan alat ini petani akan mendapatkan pemberitahuan bahwa air di sawah telah mengalir, pada saat air tidak mengalir petani juga akan mendapat pemberitahuan air mati dan berapa liter air yang mengalir kesawah, sehingga dapat mempermudah dan menghemat waktu para petani.",monitoring air di area persawahan milik pondok pesantren nurul jadid dengan mikrokontrolerarduino berbasis sms gateway,sawah merupakan lahan pertanian bagi para petani terutama di indonesia pada saat menanam padi tentunya membutuhkan banyak air untuk pertumbuhan tanaman padi pada sistem pengairan sawah terutama di daerah pondok pesantren nurul jadid tidak selalu mengalir dikarenakan saluran air digunakan oleh banyak orang sehingga mengaliri sawah di lakukan secara bergantian dan waktu tidak teratur dengan adanya alat monitoring air berbasis sms gateway para petani tidak harus setiap pagi kesawah untuk mengontrol air mengalir atau tidak dengan alat ini petani akan mendapatkan pemberitahuan bahwa air di sawah telah mengalir pada saat air tidak mengalir petani juga akan mendapat pemberitahuan air mati dan berapa liter air yang mengalir kesawah sehingga dapat mempermudah dan menghemat waktu para petani
Sistem Informasi Kuliah Kerja Nyata Di Universitas Nurul Jadid Berbasis WEB,"Berdasarkan judul di atas, dengan di buatnya website yang mencakup semua kegiatan yang dilakukan mahasiswa mulai dari kegiatan pendaftaran KKN, melihat informasi lokasi desa tempat mahasiswa tersebut melaksanakan KKN, menampilkan informasi Dosen yang menjadi pembimbing lapangan sesuai wilayah.",sistem informasi kuliah kerja nyata di universitas nurul jadid berbasis web,berdasarkan judul di atas dengan di buatnya website yang mencakup semua kegiatan yang dilakukan mahasiswa mulai dari kegiatan pendaftaran kkn melihat informasi lokasi desa tempat mahasiswa tersebut melaksanakan kkn menampilkan informasi dosen yang menjadi pembimbing lapangan sesuai wilayah
Analisis Keamanan Website PMB Menggunakan Metode Penetration Testing Execution Standard (PTES) dan Open Web Application Security Project (OWASP) di LIngkungan Universitas Nurul Jadid,"Penelitian ini bertujuan untuk menganalisis keamanan website Penerimaan Mahasiswa Baru (PMB) Universitas Nurul Jadid dengan menggunakan dua pendekatan standar: Penetration Testing Execution Standard (PTES) dan Open Web Application Security Project (OWASP). PTES menyediakan kerangka kerja lengkap untuk mengidentifikasi dan menguji kerentanan pada sistem, sementara OWASP fokus pada ancaman dan risiko spesifik yang umum ditemui pada aplikasi web._x000D_
_x000D_
Proses analisis dimulai dengan mengidentifikasi dan mengumpulkan informasi mengenai infrastruktur website PMB. Tahapan berikutnya meliputi pemindaian kerentanan, eksploitasi, dan penilaian risiko berdasarkan standar PTES. Selain itu, panduan OWASP digunakan untuk mendeteksi kerentanan umum seperti injeksi SQL, cross-site scripting (XSS), dan kerentanan otentikasi._x000D_
_x000D_
Hasil dari penelitian ini akan memberikan gambaran tentang tingkat keamanan website PMB Universitas Nurul Jadid. Temuan ini diharapkan dapat menjadi dasar untuk memperbaiki dan meningkatkan keamanan website, serta memberikan rekomendasi praktis untuk pengelola IT di lingkungan universitas dalam mengamankan aplikasi web mereka dari ancaman cyber yang semakin kompleks.",analisis keamanan website pmb menggunakan metode penetration testing execution standard ptes dan open web application security project owasp di lingkungan universitas nurul jadid,penelitian ini bertujuan untuk menganalisis keamanan website penerimaan mahasiswa baru pmb universitas nurul jadid dengan menggunakan dua pendekatan standar penetration testing execution standard ptes dan open web application security project owasp ptes menyediakan kerangka kerja lengkap untuk mengidentifikasi dan menguji kerentanan pada sistem sementara owasp fokus pada ancaman dan risiko spesifik yang umum ditemui pada aplikasi web proses analisis dimulai dengan mengidentifikasi dan mengumpulkan informasi mengenai infrastruktur website pmb tahapan berikutnya meliputi pemindaian kerentanan eksploitasi dan penilaian risiko berdasarkan standar ptes selain itu panduan owasp digunakan untuk mendeteksi kerentanan umum seperti injeksi sql cross-site scripting xss dan kerentanan otentikasi hasil dari penelitian ini akan memberikan gambaran tentang tingkat keamanan website pmb universitas nurul jadid temuan ini diharapkan dapat menjadi dasar untuk memperbaiki dan meningkatkan keamanan website serta memberikan rekomendasi praktis untuk pengelola it di lingkungan universitas dalam mengamankan aplikasi web mereka dari ancaman cyber yang semakin kompleks
Sistem Informasi Pelayanan Pengajuan Surat-Menyurat Berbasis Android Pada Desa Kecik Besuk Kab. Probolinggo,"Permintaan surat keterangan atau perjanjian pada tiap desa memiliki sistem dan aturan sendiri-sendiri, pada Desa Kecik jika ada seseorang warga akan meminta surat keterangan atau perjanjian (SKTM, pembelian tanah, perjanjian gadai, surat keterangan meninggal, surat keterangan cukum umur, surat pengantar desa) masih menggunakan metode manual, yaitu mendatangi kepala desa atau perangkat desa, lalu meminta surat-surat tersebut atau bahkan warga membuat sendiri dan cukup meminta tanda tangan pada kepala desa,sistem seperti itu membuat perbedaan format pada tiap-tiap surat, dan proses perintaan membutuhkan waktu lama , sistem seperti itu juga tidak bisa merekap berapa banyak dan seberapa intens para warga meminta surat-surat tersebut._x000D_
Maka dari itu dibuatlah aplikasi untuk warga berbasis mobile untuk melakukan permintaan pembuatan surat tersebut kepada desa.",sistem informasi pelayanan pengajuan surat-menyurat berbasis android pada desa kecik besuk kab probolinggo,permintaan surat keterangan atau perjanjian pada tiap desa memiliki sistem dan aturan sendiri-sendiri pada desa kecik jika ada seseorang warga akan meminta surat keterangan atau perjanjian sktm pembelian tanah perjanjian gadai surat keterangan meninggal surat keterangan cukum umur surat pengantar desa masih menggunakan metode manual yaitu mendatangi kepala desa atau perangkat desa lalu meminta surat-surat tersebut atau bahkan warga membuat sendiri dan cukup meminta tanda tangan pada kepala desa sistem seperti itu membuat perbedaan format pada tiap-tiap surat dan proses perintaan membutuhkan waktu lama sistem seperti itu juga tidak bisa merekap berapa banyak dan seberapa intens para warga meminta surat-surat tersebut maka dari itu dibuatlah aplikasi untuk warga berbasis mobile untuk melakukan permintaan pembuatan surat tersebut kepada desa
MERUBAH MOTOR INDUKSI 1 FASA MENJADI GENERATOR 1 FASA,"Motor induksi merupakan salah satu motor listrik arus bolak balik yang banyak dipergunakan baik di industri maupun di rumah tangga. Motor industri di gunakan sebagai motor penggerak pada alat-alat produksi di industri atau alat-alat rumah tangga. Bila slip motor dibuat negatif atau dengan kata lain kecepatan putar rotor lebih besar dari pada kecepatan medan putar maka rotor akan berfungsi sebagai generator. Agar dapat berfungsi generator dibutuhkan tegangan kapasitif yang akan menghasilkan arus induktif pada rotor untuk keperluan eksitasi.Generator adalah mesin listrik arus bolak balik yang mengahilkan tegangan dan arus bolak-balik. Generator menjadi komponen utama di dalam pembangkit energi listrik. Karena harga generator yang relatif mahal, oleh karena itu motor induksi dapat dimafaatkan menjadi generator karena harga motor induksi lebih terjangkau.",merubah motor induksi 1 fasa menjadi generator 1 fasa,motor induksi merupakan salah satu motor listrik arus bolak balik yang banyak dipergunakan baik di industri maupun di rumah tangga motor industri di gunakan sebagai motor penggerak pada alat-alat produksi di industri atau alat-alat rumah tangga bila slip motor dibuat negatif atau dengan kata lain kecepatan putar rotor lebih besar dari pada kecepatan medan putar maka rotor akan berfungsi sebagai generator agar dapat berfungsi generator dibutuhkan tegangan kapasitif yang akan menghasilkan arus induktif pada rotor untuk keperluan eksitasi generator adalah mesin listrik arus bolak balik yang mengahilkan tegangan dan arus bolak-balik generator menjadi komponen utama di dalam pembangkit energi listrik karena harga generator yang relatif mahal oleh karena itu motor induksi dapat dimafaatkan menjadi generator karena harga motor induksi lebih terjangkau
Aplikasi E-Marketplace Wedding Organizer (WO) Berbasis Android,"Wedding Organizer adalah penyelenggara acara pernikahan yang menyediakan jasa diantaranya berupa foto prewedding, tata rias pengantin, busana pengantin, dekorasi pelaminan pengantin, serta catering untuk acara pernikahan. Terkadang  sebuah WO merupakan kumpulan dari beberapa perusahaan yang bekerja sama untuk mensukseskan suatu acara pernikahan. Calon pengantin akan membutuhkan jasa WO untuk menyelenggarakan upacara sakral pernikahannya, pemilihan WO yang tepat dan sesuai dengan anggaran yang dimiliki calon pengantin membutuhkan waktu yang relative lama, bukan hanya itu Ketika dalam hal pemesanan calon pengantin  masihlah harus mendatangi pihak WO atau melalui media sosial seperti WA, FB dsb. Hal ini mengakibatkan kurangnya pengetahuan pelanggan tentang detail produk jasa WO. Persoalan lainnya ialah seperti perhitungan biaya, penerimaan pesanan,dan pengecekan pesanan, masih menggunakan cara manual. Hal ini menjadikan penyebab hilangnya data, kesalahan Ketika penginputan data, dan kesalahan perhitungan. Sehingga peneliti berinisiatif untuk membuat suatu e-marketpkace WO yang dirancang sebagai sarana bertemunya calon pengantin dengan perusahaan penyelenggara acara pernikahan dengan dukungan teknologi informasi dan sosial media. Penelitian ini menggunakan alat bantu suatu aplikasi yaitu aplikasi Android dimana fitur â€“ fiturnya yaitu pemesanan yang sudah tertera jelas tentang detail produk beserta harganya sesuai dengan paket â€“ paket jasa WO. Dalam penelitian ini juga dibutuhkan suatu website yang akan mengatur profil, mengecek jadwal/history penyewaan, mengatur produk, mengatur penyewaan dan penghasilan, serta mengecek dan mengeksprot laporan keuangan",aplikasi e-marketplace wedding organizer wo berbasis android,wedding organizer adalah penyelenggara acara pernikahan yang menyediakan jasa diantaranya berupa foto prewedding tata rias pengantin busana pengantin dekorasi pelaminan pengantin serta catering untuk acara pernikahan terkadang sebuah wo merupakan kumpulan dari beberapa perusahaan yang bekerja sama untuk mensukseskan suatu acara pernikahan calon pengantin akan membutuhkan jasa wo untuk menyelenggarakan upacara sakral pernikahannya pemilihan wo yang tepat dan sesuai dengan anggaran yang dimiliki calon pengantin membutuhkan waktu yang relative lama bukan hanya itu ketika dalam hal pemesanan calon pengantin masihlah harus mendatangi pihak wo atau melalui media sosial seperti wa fb dsb hal ini mengakibatkan kurangnya pengetahuan pelanggan tentang detail produk jasa wo persoalan lainnya ialah seperti perhitungan biaya penerimaan pesanan dan pengecekan pesanan masih menggunakan cara manual hal ini menjadikan penyebab hilangnya data kesalahan ketika penginputan data dan kesalahan perhitungan sehingga peneliti berinisiatif untuk membuat suatu e-marketpkace wo yang dirancang sebagai sarana bertemunya calon pengantin dengan perusahaan penyelenggara acara pernikahan dengan dukungan teknologi informasi dan sosial media penelitian ini menggunakan alat bantu suatu aplikasi yaitu aplikasi android dimana fitur fiturnya yaitu pemesanan yang sudah tertera jelas tentang detail produk beserta harganya sesuai dengan paket paket jasa wo dalam penelitian ini juga dibutuhkan suatu website yang akan mengatur profil mengecek jadwal history penyewaan mengatur produk mengatur penyewaan dan penghasilan serta mengecek dan mengeksprot laporan keuangan
PENGEMBANGAN APLIKASI RESERVASI UGD SECARA RESPONSIVE BERBASIS WEB APP MENGGUNAKAN FRAMEWORK LARAVEL DAN BOT TELEGRAM DI UGD TEGALSARI,"Pengembangan aplikasi reservasi UGD secara responsif berbasis web app menggunakan framework Laravel dan bot Telegram di UGD Tegalsari bertujuan untuk memberikan kemudahan bagi masyarakat dalam melakukan reservasi di Unit Gawat Darurat (UGD) Tegalsari._x000D_
Aplikasi ini akan dikembangkan menggunakan framework Laravel, yang merupakan salah satu framework PHP terpopuler dan memiliki fitur-fitur yang lengkap untuk pengembangan aplikasi web. Dalam pengembangan aplikasi ini, akan digunakan prinsip-prinsip desain responsif, sehingga aplikasi dapat diakses dengan nyaman melalui berbagai perangkat._x000D_
Selain itu, akan dikembangkan juga bot Telegram untuk memudahkan masyarakat dalam melakukan reservasi. Bot Telegram akan diintegrasikan dengan aplikasi web sehingga reservasi dapat dilakukan melalui aplikasi web maupun bot Telegram._x000D_
Fitur atau keterbaruan diantaranya:_x000D_
1.	Reservasi UGD secara online, aplikasi reservasi UGD sebelumnya tersedia secara offline atau melalui panggilan telpon, sedangkan aplikasi reservasi UGD diintregasikan secara online._x000D_
2.	Responsive, pengembangan aplikasi reservasi UGD dilakukan secara responsive aratinya aplikasi dapat menyesuaikan diri dengan berbagai jenis perangkat yang digunakan oleh pengguna._x000D_
3.	Berbasis web app, aplikasi reservasi UGD dikembangkan berbasis web app pada perangkat apapun yang terhubung ke internet._x000D_
4.	Bot telegram, aplikasi reservasi UGD dilengkapi dengan bot telegram, yang memungkinkan pengguna melakukan reservasi dengan mudah melalui pesan instan aplikasi telegram._x000D_
5.	Fitur notifikasi, aplikasi reservasi UGD dilengkapi fitur notifikasi, sehingga pengguna dapat menerima pemberitahuan Ketika reservasi mereka telah diperoses._x000D_
Diharapkan dengan pengembangan aplikasi reservasi UGD secara responsif berbasis web app menggunakan framework Laravel dan bot Telegram di UGD Tegalsari, masyarakat dapat dengan mudah melakukan reservasi di UGD Tegalsari dan mengurangi waktu tunggu serta meningkatkan efektivitas pelayanan di UGD Tegalsari.",pengembangan aplikasi reservasi ugd secara responsive berbasis web app menggunakan framework laravel dan bot telegram di ugd tegalsari,pengembangan aplikasi reservasi ugd secara responsif berbasis web app menggunakan framework laravel dan bot telegram di ugd tegalsari bertujuan untuk memberikan kemudahan bagi masyarakat dalam melakukan reservasi di unit gawat darurat ugd tegalsari aplikasi ini akan dikembangkan menggunakan framework laravel yang merupakan salah satu framework php terpopuler dan memiliki fitur-fitur yang lengkap untuk pengembangan aplikasi web dalam pengembangan aplikasi ini akan digunakan prinsip-prinsip desain responsif sehingga aplikasi dapat diakses dengan nyaman melalui berbagai perangkat selain itu akan dikembangkan juga bot telegram untuk memudahkan masyarakat dalam melakukan reservasi bot telegram akan diintegrasikan dengan aplikasi web sehingga reservasi dapat dilakukan melalui aplikasi web maupun bot telegram fitur atau keterbaruan diantaranya 1 reservasi ugd secara online aplikasi reservasi ugd sebelumnya tersedia secara offline atau melalui panggilan telpon sedangkan aplikasi reservasi ugd diintregasikan secara online 2 responsive pengembangan aplikasi reservasi ugd dilakukan secara responsive aratinya aplikasi dapat menyesuaikan diri dengan berbagai jenis perangkat yang digunakan oleh pengguna 3 berbasis web app aplikasi reservasi ugd dikembangkan berbasis web app pada perangkat apapun yang terhubung ke internet 4 bot telegram aplikasi reservasi ugd dilengkapi dengan bot telegram yang memungkinkan pengguna melakukan reservasi dengan mudah melalui pesan instan aplikasi telegram 5 fitur notifikasi aplikasi reservasi ugd dilengkapi fitur notifikasi sehingga pengguna dapat menerima pemberitahuan ketika reservasi mereka telah diperoses diharapkan dengan pengembangan aplikasi reservasi ugd secara responsif berbasis web app menggunakan framework laravel dan bot telegram di ugd tegalsari masyarakat dapat dengan mudah melakukan reservasi di ugd tegalsari dan mengurangi waktu tunggu serta meningkatkan efektivitas pelayanan di ugd tegalsari
Pengenalan aktivitas santri di musholla pada video CCTV menggunakan  metode You Only Look Once (YOLO),"Pemantauan aktivitas santri di musholla merupakan kegiatan sehari-hari oleh _x000D_
pihak ubudiyah yang dimana memantau santri yang tidur, makan dan pihak _x000D_
keamanan wilayah, walaupun terkadang pemantauan ini terkendala oleh _x000D_
beberapa alasan seperti halnya ketika hujan, kegiatan rapat mendadak dan lain _x000D_
sebagainya. Dengan adanya pemantauan pada video CCTV ini, pihak terkait _x000D_
akan lebih mudah untuk memantau aktivitas santri di musholla. Metode yang _x000D_
digunakan yaitu metode Faster R-CNN dan CNN. Metode Faster R-CNN _x000D_
merupakan sebuah metode yang digunakan untuk mendeteksi objek pada _x000D_
sebuah gambar, dan metode ini biasanya digunakan sebagai arsitektur _x000D_
utamanya, dan metode CNN merupakan salah satu jenis algoritme Deep _x000D_
Learning yang bisa menangkap objek berupa gambar, dan bisa membedakan _x000D_
gambar satu dengan gambar lainnya.",pengenalan aktivitas santri di musholla pada video cctv menggunakan metode you only look once yolo,pemantauan aktivitas santri di musholla merupakan kegiatan sehari-hari oleh pihak ubudiyah yang dimana memantau santri yang tidur makan dan pihak keamanan wilayah walaupun terkadang pemantauan ini terkendala oleh beberapa alasan seperti halnya ketika hujan kegiatan rapat mendadak dan lain sebagainya dengan adanya pemantauan pada video cctv ini pihak terkait akan lebih mudah untuk memantau aktivitas santri di musholla metode yang digunakan yaitu metode faster r-cnn dan cnn metode faster r-cnn merupakan sebuah metode yang digunakan untuk mendeteksi objek pada sebuah gambar dan metode ini biasanya digunakan sebagai arsitektur utamanya dan metode cnn merupakan salah satu jenis algoritme deep learning yang bisa menangkap objek berupa gambar dan bisa membedakan gambar satu dengan gambar lainnya
RANCANG SISTEM INFORMASI PENJUALAN KAMBING DENGAN FITUR VALUE FOR MONEY PADA PETERNAKAN TRIFA FARM BERBASIS WEBSITE,"Trifa Farm menjadi salah satu penyedia hewan ternak untuk aqiqah, pesta, qurban bagi masyarakat untuk menyambut Hari Raya Idul Adha, selain itu ada juga pembeli yang membeli kambing untuk dijadikan usaha kuliner. Dimana masyrakat yang datang ke lokasi peternakan  untuk mengecek secara langsung kondisi kambing yang akan dibeli. Tetapi seringkali masyarakat kurang mengetahui keberadaan peternakan dikarenkan lokasi yang jaun dari pusat kota sehingga konsumen mengurungkan niatnya untuk membeli dan kurangnya media promosi dengan menyebarkan brosur dan memasang spanduk ditepi jalan agar dapat dilihat oleh orang-orang, tentunya membutuhkan biaya yang lebih. Trifa Farm mempunyai konsumen tetap di daerah bali yang dimana sering mengirimkan kambing jawa jenis jawarandu dan etawa berbobot besar ke bali, tapi  tidak seluruhnya terjual karena permintaan konsumen yang belum pasti.",rancang sistem informasi penjualan kambing dengan fitur value for money pada peternakan trifa farm berbasis website,trifa farm menjadi salah satu penyedia hewan ternak untuk aqiqah pesta qurban bagi masyarakat untuk menyambut hari raya idul adha selain itu ada juga pembeli yang membeli kambing untuk dijadikan usaha kuliner dimana masyrakat yang datang ke lokasi peternakan untuk mengecek secara langsung kondisi kambing yang akan dibeli tetapi seringkali masyarakat kurang mengetahui keberadaan peternakan dikarenkan lokasi yang jaun dari pusat kota sehingga konsumen mengurungkan niatnya untuk membeli dan kurangnya media promosi dengan menyebarkan brosur dan memasang spanduk ditepi jalan agar dapat dilihat oleh orang-orang tentunya membutuhkan biaya yang lebih trifa farm mempunyai konsumen tetap di daerah bali yang dimana sering mengirimkan kambing jawa jenis jawarandu dan etawa berbobot besar ke bali tapi tidak seluruhnya terjual karena permintaan konsumen yang belum pasti
Deteksi Wajah dan Ekspresi pada Video Percakapan Bahasa Isyarat Indonesia (BISINDO) menggunakan Haar Cascade dan Deep Learning,Deteksi wajah berhubungan dengan mencari apakah ada wajah dalam gambar atau video tertentu. Ekspresi wajah adalah salah satu bentuk komunikasi nonverbal dari raut wajah.  Mendeteksi wajah dan ekspresi manusia dalam video percakapan menggunakan Bahasa Isyarat Indonesia (BISINDO) dapat menambah pengetahuan masyarakat tentang ekspresi-ekspresi yang digunakan pada video tersebut sehingga mempermudah masyarakat dalam memahami dan berkomunikasi menggunakan bahasa isyarat indonesia (BISINDO).,deteksi wajah dan ekspresi pada video percakapan bahasa isyarat indonesia bisindo menggunakan haar cascade dan deep learning,deteksi wajah berhubungan dengan mencari apakah ada wajah dalam gambar atau video tertentu ekspresi wajah adalah salah satu bentuk komunikasi nonverbal dari raut wajah mendeteksi wajah dan ekspresi manusia dalam video percakapan menggunakan bahasa isyarat indonesia bisindo dapat menambah pengetahuan masyarakat tentang ekspresi-ekspresi yang digunakan pada video tersebut sehingga mempermudah masyarakat dalam memahami dan berkomunikasi menggunakan bahasa isyarat indonesia bisindo
Perancangan sistem informasi data absensi siswa berbasis web menggunakan PHP di SMA 1 Paiton,"Sesuai dengan kemajuan teknologi komputer mempunyai pengaruh penting bagi pengembangan pengolah data, termasuk dalam lembaga atau instansi pendidikan diperlukan pengolah data absensi untuk mempermudah sistem kinerja lembaga pendidikan tersebut, oleh sebab itu perancangan sistem informasi absensi ini dibuat bertujuan untuk memudahkan lembaga setiap harinya dalam memonitoring data absensi dan siswa mengatur absennya.",perancangan sistem informasi data absensi siswa berbasis web menggunakan php di sma 1 paiton,sesuai dengan kemajuan teknologi komputer mempunyai pengaruh penting bagi pengembangan pengolah data termasuk dalam lembaga atau instansi pendidikan diperlukan pengolah data absensi untuk mempermudah sistem kinerja lembaga pendidikan tersebut oleh sebab itu perancangan sistem informasi absensi ini dibuat bertujuan untuk memudahkan lembaga setiap harinya dalam memonitoring data absensi dan siswa mengatur absennya
Alat pengendali temperatur Dan pH untuk optimalisasi pembuatan nata de coco,"Berdasarkan pengolahan nata de coco membutuhkan proses fermentasi air kelapa oleh bakteri Acetobacter xylinum untuk menghasilkan gizi nata de coco. Dengan melihat keterbatasan pengontrolan nata de coco maka di buatlah Alat pengendali temperatur Dan pH untuk optimalisasi pembuatan nata de coco. Fungsi alat ini bertujuan untuk mengetahui, optimalisasi nata de coco dan mengontrol suhu untuk menghasilkan nata de coco optimal",alat pengendali temperatur dan ph untuk optimalisasi pembuatan nata de coco,berdasarkan pengolahan nata de coco membutuhkan proses fermentasi air kelapa oleh bakteri acetobacter xylinum untuk menghasilkan gizi nata de coco dengan melihat keterbatasan pengontrolan nata de coco maka di buatlah alat pengendali temperatur dan ph untuk optimalisasi pembuatan nata de coco fungsi alat ini bertujuan untuk mengetahui optimalisasi nata de coco dan mengontrol suhu untuk menghasilkan nata de coco optimal
